run_id,dataset,norm,policy,n_views,delta_accuracy,ci_low,ci_high,ci_excludes_zero,mcnemar_p,harm_rate,rescue_rate,mixed_delta_accuracy,ece,nll,brier,n_samples
A-pathmnist-28px-groupnorm-policy-none-s0,pathmnist,groupnorm,geometric,25,-0.4053378648540584,-0.4149340263894442,-0.3955417832866853,True,0.0,0.44594885020416936,0.1361031518624642,-0.5685725709716114,0.24396980343247263,1.833085298538208,0.6955117583274841,10004
A-pathmnist-28px-groupnorm-policy-none-s0,pathmnist,groupnorm,geometric,50,-0.40353858456617353,-0.41333466613354664,-0.39374250299880054,True,0.0,0.4442295293359123,0.13896848137535817,-0.5635745701719312,0.2407719232067496,1.7840346097946167,0.6947015523910522,10004
A-pathmnist-28px-groupnorm-policy-none-s0,pathmnist,groupnorm,intensity,25,-0.33646541383446626,-0.3463614554178329,-0.3267692922830868,True,0.0,0.3767461852568236,0.20057306590257878,-0.5685725709716114,0.14613012982452692,1.1626287698745728,0.5559471845626831,10004
A-pathmnist-28px-groupnorm-policy-none-s0,pathmnist,groupnorm,intensity,50,-0.30867652938824475,-0.31847261095561774,-0.2989804078368653,True,0.0,0.3478401031592521,0.2134670487106017,-0.5635745701719312,0.1838475326206483,1.1422144174575806,0.5467569828033447,10004
A-pathmnist-28px-groupnorm-policy-none-s1,pathmnist,groupnorm,geometric,25,-0.5177928828468612,-0.5279888044782088,-0.507794382247101,True,0.0,0.5564720812182741,0.14963503649635038,-0.665733706517393,0.2776133424160434,2.064061403274536,0.7849901914596558,10004
A-pathmnist-28px-groupnorm-policy-none-s1,pathmnist,groupnorm,geometric,50,-0.516593362654938,-0.5266893242702919,-0.5063974410235905,True,0.0,0.5557318104906938,0.15875912408759124,-0.667532986805278,0.2734559632656051,2.0093860626220703,0.782295286655426,10004
A-pathmnist-28px-groupnorm-policy-none-s1,pathmnist,groupnorm,intensity,25,-0.32686925229908037,-0.33646541383446615,-0.3171731307477009,True,0.0,0.35733925549915396,0.1989051094890511,-0.665733706517393,0.1752890028574856,1.1487665176391602,0.5510351061820984,10004
A-pathmnist-28px-groupnorm-policy-none-s1,pathmnist,groupnorm,intensity,50,-0.2991803278688525,-0.30867652938824475,-0.28978408636545383,True,0.0,0.32783417935702197,0.19525547445255476,-0.667532986805278,0.21275440414772426,1.1264731884002686,0.5412935614585876,10004
A-pathmnist-28px-groupnorm-policy-none-s2,pathmnist,groupnorm,geometric,25,-0.44622151139544186,-0.4563174730107957,-0.436125549780088,True,0.0,0.47988656653712847,0.21739130434782608,-0.6777289084366254,0.23982884531400525,1.9193576574325562,0.7149192690849304,10004
A-pathmnist-28px-groupnorm-policy-none-s2,pathmnist,groupnorm,geometric,50,-0.4479208316673331,-0.45811675329868057,-0.43772491003598557,True,0.0,0.4815670622833736,0.2153209109730849,-0.6853258696521392,0.24091899092914293,1.8546503782272339,0.7129091024398804,10004
