run_id,dataset,policy,families,n_views,n_samples,ci_excludes_zero,rescue_rate,mcnemar_p,ci_low,harm_rate,delta_accuracy,bootstrap_seed,ci_high
A-bloodmnist-28px-batchnorm-policy-none-s2,bloodmnist,none,H1|H2|H3,1,3421,True,0.3051948051948052,0.0,-0.5708857059339375,0.593510866238139,-0.5530546623794212,17861886833095632043,-0.5358082432037417
A-bloodmnist-28px-batchnorm-policy-none-s2,bloodmnist,none,H1|H2|H3,2,3421,True,0.3181818181818182,0.0,-0.5387313650979246,0.5610651974288338,-0.521484945922245,11005250169399190131,-0.5042385267465652
A-bloodmnist-28px-batchnorm-policy-none-s2,bloodmnist,none,H1|H2|H3,5,3421,True,0.36363636363636365,0.0,-0.5185618240280621,0.5414753596571779,-0.5007307804735457,11856681774752935466,-0.48260742472961127
A-bloodmnist-28px-batchnorm-policy-none-s2,bloodmnist,none,H1|H2|H3,10,3421,True,0.37662337662337664,0.0,-0.5074539608301667,0.5301499846954393,-0.4893306050862321,17953604639664439053,-0.47149956153171585
A-bloodmnist-28px-batchnorm-policy-none-s2,bloodmnist,none,H1|H2|H3,25,3421,True,0.38961038961038963,0.0,-0.509792458345513,0.5338230792776247,-0.4922537269804151,14522288901366525827,-0.47442268342589883
A-bloodmnist-28px-batchnorm-policy-none-s2,bloodmnist,none,H1|H2|H3,50,3421,True,0.38961038961038963,0.0,-0.5100847705349314,0.5338230792776247,-0.4922537269804151,14730468367125866382,-0.4738380590470623
A-bloodmnist-28px-batchnorm-policy-none-s2,bloodmnist,none,H1|H2|H3,100,3421,True,0.38961038961038963,0.0,-0.5138848289973692,0.5378022650749924,-0.49605378544285295,13347730608689152042,-0.478515054077755
A-bloodmnist-28px-groupnorm-policy-none-s0,bloodmnist,none,H1|H2,1,3421,True,0.26609442060085836,3.9604895727674476e-252,-0.38731365097924586,0.4162484316185696,-0.369774919614148,8408255321779035890,-0.3522361882490499
A-bloodmnist-28px-groupnorm-policy-none-s0,bloodmnist,none,H1|H2,2,3421,True,0.2918454935622318,1.4137770278765463e-209,-0.33206664717918744,0.35915934755332496,-0.31482022800350784,17045921559419741259,-0.2981584332066647
A-bloodmnist-28px-groupnorm-policy-none-s0,bloodmnist,none,H1|H2,5,3421,True,0.3133047210300429,3.110237326391648e-163,-0.2700964630225081,0.2951693851944793,-0.25372698041508335,6303971805822203809,-0.23764980999707686
A-bloodmnist-28px-groupnorm-policy-none-s0,bloodmnist,none,H1|H2,10,3421,True,0.33047210300429186,2.0527339472061102e-141,-0.24174218064893305,0.2659974905897114,-0.2253726980415084,6666035390292794035,-0.20988015200233856
A-bloodmnist-28px-groupnorm-policy-none-s0,bloodmnist,none,H1|H2,25,3421,True,0.351931330472103,1.1496203813045863e-130,-0.2280035077462731,0.25376411543287325,-0.21251096170710326,3431562269698509518,-0.19701841566793332
A-bloodmnist-28px-groupnorm-policy-none-s0,bloodmnist,none,H1|H2,50,3421,True,0.351931330472103,1.1183923920676958e-126,-0.2224495761473253,0.24780426599749059,-0.20695703010815558,5622309457870711705,-0.19146448406898575
A-bloodmnist-28px-groupnorm-policy-none-s0,bloodmnist,none,H1|H2,100,3421,True,0.3605150214592275,3.1775928156628563e-124,-0.22011107863197898,0.24560853199498117,-0.20432622040339088,15715608980345627902,-0.18883367436422105
A-bloodmnist-28px-groupnorm-policy-none-s1,bloodmnist,none,H1|H2,1,3421,True,0.29098360655737704,1.7350922619131143e-262,-0.40572931891259867,0.4403525338369531,-0.3881905875475007,6857890379033981395,-0.3706518561824028
A-bloodmnist-28px-groupnorm-policy-none-s1,bloodmnist,none,H1|H2,2,3421,True,0.32786885245901637,4.932718844613154e-213,-0.34229757380882786,0.37519672647151403,-0.32505115463314815,6989014694083844462,-0.30780473545746867
A-bloodmnist-28px-groupnorm-policy-none-s1,bloodmnist,none,H1|H2,5,3421,True,0.3319672131147541,5.629856934390329e-182,-0.2996199941537562,0.3301857097891092,-0.28295819935691313,4267334104780285236,-0.2665887167494885
A-bloodmnist-28px-groupnorm-policy-none-s1,bloodmnist,none,H1|H2,10,3421,True,0.3442622950819672,1.946757114411512e-167,-0.2806197018415668,0.31098520616934217,-0.26425021923414205,18166779241626692291,-0.24729611224788073
A-bloodmnist-28px-groupnorm-policy-none-s1,bloodmnist,none,H1|H2,25,3421,True,0.35655737704918034,3.804670468106574e-152,-0.26015784858228597,0.29052565313188544,-0.24437299035369775,10071644839409380578,-0.22829581993569126
A-bloodmnist-28px-groupnorm-policy-none-s1,bloodmnist,none,H1|H2,50,3421,True,0.3524590163934426,5.829439443351949e-147,-0.25255773165741013,0.2820270695624803,-0.23677287342882192,18247445144071899298,-0.22069570301081554
A-bloodmnist-28px-groupnorm-policy-none-s1,bloodmnist,none,H1|H2,100,3421,True,0.36885245901639346,7.556654893054508e-143,-0.24875767319497222,0.2788794460182562,-0.23268050277696573,7463873651960776840,-0.21688833674364227
A-bloodmnist-28px-groupnorm-policy-none-s2,bloodmnist,none,H1|H2,1,3421,True,0.26436781609195403,2.9325509451867143e-261,-0.4036831335866705,0.43924050632911393,-0.3855597778427361,11399705914874283144,-0.3683133586670564
