run_id,dataset,n_views,anchored_delta_accuracy,anchored_harm_rate,anchored_rescue_rate,anchored_accuracy
A-pathmnist-64px-batchnorm-policy-none-s1,pathmnist,5,-0.30167130919220053,0.41467276565798733,0.12767379679144386,0.48997214484679663
A-pathmnist-64px-batchnorm-policy-none-s1,pathmnist,10,-0.3314763231197771,0.4517945109078114,0.12566844919786097,0.46016713091922007
A-pathmnist-64px-batchnorm-policy-none-s1,pathmnist,25,-0.3577994428969359,0.488036593947924,0.13703208556149732,0.4338440111420613
A-pathmnist-64px-batchnorm-policy-none-s1,pathmnist,50,-0.3708913649025069,0.5049261083743842,0.13836898395721925,0.42075208913649026
A-pathmnist-64px-batchnorm-policy-none-s1,pathmnist,100,-0.3768802228412256,0.516713581984518,0.15441176470588236,0.4147632311977716
A-pathmnist-64px-batchnorm-policy-none-s2,pathmnist,1,-0.1279944289693593,0.1586869495596477,0.07700534759358289,0.7417827298050139
A-pathmnist-64px-batchnorm-policy-none-s2,pathmnist,2,-0.20584958217270188,0.2512409927942354,0.09732620320855614,0.6639275766016713
A-pathmnist-64px-batchnorm-policy-none-s2,pathmnist,5,-0.2863509749303621,0.3423538831064852,0.0877005347593583,0.5834261838440111
A-pathmnist-64px-batchnorm-policy-none-s2,pathmnist,10,-0.3278551532033426,0.38863090472377904,0.07807486631016043,0.5419220055710307
A-pathmnist-64px-batchnorm-policy-none-s2,pathmnist,25,-0.3575208913649025,0.422257806244996,0.0748663101604278,0.5122562674094707
A-pathmnist-64px-batchnorm-policy-none-s2,pathmnist,50,-0.37325905292479106,0.4390712570056045,0.06631016042780749,0.49651810584958217
A-pathmnist-64px-batchnorm-policy-none-s2,pathmnist,100,-0.37952646239554316,0.4453162530024019,0.059893048128342244,0.49025069637883006
A-pathmnist-64px-groupnorm-policy-none-s0,pathmnist,1,-0.11364902506963792,0.13700287312868592,0.15873015873015872,0.8073816155988858
A-pathmnist-64px-groupnorm-policy-none-s0,pathmnist,2,-0.22869080779944295,0.26432783910479357,0.18694885361552027,0.6923398328690807
A-pathmnist-64px-groupnorm-policy-none-s0,pathmnist,5,-0.33147632311977715,0.37698472705277486,0.19929453262786595,0.5895543175487465
A-pathmnist-64px-groupnorm-policy-none-s0,pathmnist,10,-0.37743732590529244,0.4274913050052926,0.20634920634920634,0.5435933147632313
A-pathmnist-64px-groupnorm-policy-none-s0,pathmnist,25,-0.4065459610027855,0.4574323302585816,0.18694885361552027,0.5144846796657382
A-pathmnist-64px-groupnorm-policy-none-s0,pathmnist,50,-0.421866295264624,0.4728564947830032,0.1728395061728395,0.4991643454038997
A-pathmnist-64px-groupnorm-policy-none-s0,pathmnist,100,-0.42381615598885797,0.4730077120822622,0.14991181657848324,0.4972144846796657
A-pathmnist-64px-groupnorm-policy-none-s1,pathmnist,1,-0.1279944289693593,0.15112736136502133,0.1185064935064935,0.7862116991643454
A-pathmnist-64px-groupnorm-policy-none-s1,pathmnist,2,-0.27311977715877434,0.31383302864107254,0.16071428571428573,0.6410863509749304
A-pathmnist-64px-groupnorm-policy-none-s1,pathmnist,5,-0.4260445682451253,0.4792809262644729,0.14123376623376624,0.4881615598885794
A-pathmnist-64px-groupnorm-policy-none-s1,pathmnist,10,-0.4674094707520891,0.5251371115173674,0.14772727272727273,0.4467966573816156
A-pathmnist-64px-groupnorm-policy-none-s1,pathmnist,25,-0.4935933147632312,0.5536258379037172,0.1461038961038961,0.4206128133704735
A-pathmnist-64px-groupnorm-policy-none-s1,pathmnist,50,-0.506267409470752,0.5662705667276051,0.1331168831168831,0.40793871866295267
A-pathmnist-64px-groupnorm-policy-none-s1,pathmnist,100,-0.5112813370473537,0.5700792199878123,0.11525974025974026,0.402924791086351
A-pathmnist-64px-groupnorm-policy-none-s2,pathmnist,1,-0.098050139275766,0.11881638846737481,0.13389830508474576,0.8197771587743733
A-pathmnist-64px-groupnorm-policy-none-s2,pathmnist,2,-0.23036211699164344,0.26585735963581186,0.16610169491525423,0.6874651810584959
A-pathmnist-64px-groupnorm-policy-none-s2,pathmnist,5,-0.36796657381615605,0.41562974203338393,0.16440677966101694,0.5498607242339832
A-pathmnist-64px-groupnorm-policy-none-s2,pathmnist,10,-0.4162952646239555,0.47116843702579664,0.19661016949152543,0.5015320334261838
A-pathmnist-64px-groupnorm-policy-none-s2,pathmnist,25,-0.4612813370473538,0.5200303490136571,0.19491525423728814,0.4565459610027855
A-pathmnist-64px-groupnorm-policy-none-s2,pathmnist,50,-0.4703342618384401,0.5311077389984825,0.20847457627118643,0.44749303621169917
A-pathmnist-64px-groupnorm-policy-none-s2,pathmnist,100,-0.4753481894150418,0.5355083459787557,0.19661016949152543,0.4424791086350975
