run_id,dataset,n_views,bn_vs_naive_ci_high,bn_vs_clean_ci_low,bn_vs_clean_ci_high,bn_vs_naive_ci_low,bn_delta_vs_naive,bn_vs_naive_excludes_zero,bn_vs_clean_excludes_zero,bn_delta_vs_clean
A-bloodmnist-64px-batchnorm-policy-none-s2,bloodmnist,25,0.3387898275358082,-0.1882490499853844,-0.1590178310435545,0.2946506869336451,0.3168664133294358,True,True,-0.1736334405144695
A-bloodmnist-64px-batchnorm-policy-none-s2,bloodmnist,50,0.34025138848289976,-0.18737211341712945,-0.15843320666471794,0.29581262788658286,0.3183279742765273,True,True,-0.17275650394621456
A-bloodmnist-64px-batchnorm-policy-none-s2,bloodmnist,100,0.3446360713241743,-0.1867874890382929,-0.15814089447529966,0.29991230634317445,0.3224203449283835,True,True,-0.17246419175679628
A-pathmnist-28px-batchnorm-policy-none-s0,pathmnist,1,0.1261873259052925,-0.283008356545961,-0.2580779944289694,0.09637883008356546,0.11114206128133708,True,True,-0.2704735376044568
A-pathmnist-28px-batchnorm-policy-none-s0,pathmnist,2,0.0367722841225627,-0.3057137883008357,-0.28008356545961,0.006685236768802227,0.02172701949860728,True,True,-0.2927576601671309
A-pathmnist-28px-batchnorm-policy-none-s0,pathmnist,5,-0.018662952646239572,-0.3303621169916434,-0.3045961002785515,-0.048328690807799446,-0.033704735376044515,True,True,-0.3172701949860724
A-pathmnist-28px-batchnorm-policy-none-s0,pathmnist,10,-0.0711699164345404,-0.34665738161559895,-0.3207520891364902,-0.10069637883008359,-0.08579387186629522,True,True,-0.33384401114206125
A-pathmnist-28px-batchnorm-policy-none-s0,pathmnist,25,-0.11740598885793871,-0.35069986072423404,-0.3247876044568245,-0.14665738161559894,-0.13203342618384406,True,True,-0.33774373259052926
A-pathmnist-28px-batchnorm-policy-none-s0,pathmnist,50,-0.11699164345403901,-0.33217270194986076,-0.3064066852367688,-0.14651810584958214,-0.13175487465181057,True,True,-0.3193593314763231
A-pathmnist-28px-batchnorm-policy-none-s0,pathmnist,100,-0.0682451253481895,-0.2789693593314764,-0.25403899721448475,-0.09693593314763238,-0.08272980501392757,True,True,-0.26643454038997216
A-pathmnist-28px-batchnorm-policy-none-s1,pathmnist,1,0.10083565459610028,-0.3635097493036211,-0.34024721448467965,0.07284122562674095,0.0870473537604457,True,True,-0.3518105849582172
A-pathmnist-28px-batchnorm-policy-none-s1,pathmnist,2,0.06671309192200559,-0.36378830083565455,-0.3398328690807799,0.038022284122562644,0.0522284122562674,True,True,-0.35194986072423395
A-pathmnist-28px-batchnorm-policy-none-s1,pathmnist,5,0.06142061281337047,-0.3876044568245125,-0.36337047353760443,0.032869080779944326,0.046935933147632336,True,True,-0.37562674094707516
A-pathmnist-28px-batchnorm-policy-none-s1,pathmnist,10,0.05250696378830083,-0.3949895543175488,-0.3706128133704736,0.022980501392757646,0.03746518105849583,True,True,-0.38300835654596094
A-pathmnist-28px-batchnorm-policy-none-s1,pathmnist,25,0.042900417827298004,-0.3967966573816156,-0.3725626740947075,0.013649025069637888,0.02855153203342614,True,True,-0.38467966573816154
A-pathmnist-28px-batchnorm-policy-none-s1,pathmnist,50,0.05097493036211698,-0.37785515320334256,-0.3536211699164345,0.021587743732590536,0.036490250696378845,True,True,-0.36573816155988853
A-pathmnist-28px-batchnorm-policy-none-s1,pathmnist,100,0.07256267409470751,-0.34902506963788305,-0.32493036211699167,0.04289693593314764,0.05766016713091926,True,True,-0.3369080779944289
A-pathmnist-28px-batchnorm-policy-none-s2,pathmnist,1,0.3348189415041783,-0.18119777158774375,-0.1548746518105849,0.3064066852367688,0.3204735376044568,True,True,-0.16810584958217267
A-pathmnist-28px-batchnorm-policy-none-s2,pathmnist,2,0.29206128133704734,-0.19707520891364894,-0.1697736768802228,0.2639275766016714,0.278133704735376,True,True,-0.1834261838440111
A-pathmnist-28px-batchnorm-policy-none-s2,pathmnist,5,0.2575208913649025,-0.20974930362116995,-0.18245125348189417,0.2279944289693593,0.24317548746518103,True,True,-0.19596100278551531
A-pathmnist-28px-batchnorm-policy-none-s2,pathmnist,10,0.22813370473537603,-0.22353760445682447,-0.196100278551532,0.19874651810584965,0.21350974930362115,True,True,-0.20961002785515315
